MovieName,Director,Cast,Duration,ReleaseDate,Genre,Production,Rating_MyMovies,Rating_Critic,Rating_Public,Rating_Average,TopParagraph,BottomParagraph
Rapiniamo il Duce,Renato De Maria,"Pietro Castellitto, Matilda De Angelis, Tommaso Ragno, Isabella Ferrari",90,,Drammatico,,"2,50","2,45","1,83","2,26","Regia di Renato De Maria. Un film con Pietro Castellitto, Matilda De Angelis, Tommaso Ragno, Isabella Ferrari. Cast completo Genere Drammatico, Azione - Italia, 2022, durata 90 minuti. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 2,26 su 12 recensioni tra critica, pubblico e dizionari.","Un ambizioso ""heist movie"" ricco di azione e di humour. Targato Netflix."
La divina cometa,Mimmo Paladino,"Toni Servillo, Francesco De Gregori, Alessandro Haber, Sergio Rubini, Nino D'Angelo",96,11 maggio 2023,Arte,Officine Ubu,"3,00","3,00","4,00","3,33","Regia di Mimmo Paladino. Un film Da vedere 2022 con Toni Servillo, Francesco De Gregori, Alessandro Haber, Sergio Rubini, Nino D'Angelo. Cast completo Genere Arte, - Italia, 2022, durata 96 minuti. Uscita cinema giovedì 11 maggio 2023 distribuito da Officine Ubu. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,33 su 7 recensioni tra critica, pubblico e dizionari.","Mimmo Paladino torna al cinema con un film che incrocia l'Inferno della ""Divina Commedia"" con la tradizione del presepe napoletano. In Italia al Box Office La divina cometa ha incassato  32,8 mila euro .

                                

Passaggio in TV
                                        giovedì 22 febbraio 2024 ore 1,45 su  SKYARTE




   Guarda subito su CineUbu"
Vera,"Tizza Covi, Rainer Frimmel","Vera Gemma, Sebastian Dascalu, Annamaria Giancamerla, Daniel de Palma, Asia Argento",115,23 marzo 2023,Drammatico,Wanted,"4,00","3,32","2,50","3,27","Regia di Tizza Covi, Rainer Frimmel. Un film Da vedere 2022 con Vera Gemma, Sebastian Dascalu, Annamaria Giancamerla, Daniel de Palma, Asia Argento. Genere Drammatico, - Austria, Italia, 2022, durata 115 minuti. Uscita cinema giovedì 23 marzo 2023 distribuito da Wanted. - MYmonetro 3,27 su 22 recensioni tra critica, pubblico e dizionari.","Una donna in cerca della sua identità. Il film è stato premiato al Festival di Venezia, In Italia al Box Office Vera ha incassato  8 mila euro ."
Rheingold,Fatih Akin,"Emilio Sakraya, Kardo Razzazi, Mona Pirzad, Arman Kashani, Hüsein Top",140,27 luglio 2023,Drammatico,I Wonder Pictures,"3,50","2,88","3,00","3,13","Regia di Fatih Akin. Un film Da vedere 2022 con Emilio Sakraya, Kardo Razzazi, Mona Pirzad, Arman Kashani, Hüsein Top. Cast completo Genere Drammatico, - Germania, Italia, Paesi Bassi, 2022, durata 140 minuti. Uscita cinema giovedì 27 luglio 2023 distribuito da I Wonder Pictures. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,13 su 17 recensioni tra critica, pubblico e dizionari.","Fatih Akin scrive e dirige con tutta l'energia del giovane rapper, mescola generi, stili e suggestioni, attraversa due continenti, colora, smorza, rallenta, accelera. In Italia al Box Office Rheingold ha incassato nelle prime 12 settimane di programmazione 33,5 mila euro  e 21 euro nel primo weekend."
Il ritorno,Stefano Chiantini,"Emma Marrone, Fabrizio Rongione, Diego Capretta, Luca Capretta, Lorenzo Ciamei",86,15 dicembre 2022,Drammatico,Adler Entertainment,"2,00","2,25","3,00","2,42","Regia di Stefano Chiantini. Un film con Emma Marrone, Fabrizio Rongione, Diego Capretta, Luca Capretta, Lorenzo Ciamei. Cast completo Genere Drammatico, - Italia, 2022, durata 86 minuti. Uscita cinema giovedì 15 dicembre 2022 distribuito da Adler Entertainment. - MYmonetro 2,42 su 7 recensioni tra critica, pubblico e dizionari.","Una donna affronta le conseguenze di un gesto estremo fatto per amore del figlio. In Italia al Box Office Il ritorno ha incassato  24,8 mila euro ."
I pionieri,Luca Scivoletto,"Mattia Bonaventura, Francesco Cilia, Danilo Di Vita, Matilde Sofia Fazio",86,13 aprile 2023,Drammatico,Fandango,"3,50","2,91","3,80","3,40","Regia di Luca Scivoletto. Un film Da vedere 2022 con Mattia Bonaventura, Francesco Cilia, Danilo Di Vita, Matilde Sofia Fazio. Cast completo Genere Drammatico, - Italia, 2022, durata 86 minuti. Uscita cinema giovedì 13 aprile 2023 distribuito da Fandango. - MYmonetro 3,40 su 11 recensioni tra critica, pubblico e dizionari.","Sicilia, estate del 1990. Enrico ha dodici anni e tutti i problemi dei ragazzini della sua eta`. Ma a tormentarlo non sono gli ormoni impazziti o un amore non corrisposto. Il suo problema piu` grande si chiama Partito Comunista Italiano. In Italia al Box Office I pionieri ha incassato  106 mila euro ."
Un mondo sotto social,"Claudio Casisa, Annandrea Vitrano","Claudio Casisa, Annandrea Vitrano, Ernesto Maria Ponte, Giulia Elettra Gorietti",92,15 settembre 2022,Commedia,Medusa,"2,00","2,20","3,00","2,40","Regia di Claudio Casisa, Annandrea Vitrano. Un film con Claudio Casisa, Annandrea Vitrano, Ernesto Maria Ponte, Giulia Elettra Gorietti. Cast completo Genere Commedia, - Italia, 2022, durata 92 minuti. Uscita cinema giovedì 15 settembre 2022 distribuito da Medusa. - MYmonetro 2,40 su 6 recensioni tra critica, pubblico e dizionari.",L'esorio alla regia di Claudio Casisa e Annandrea Vitrano In Italia al Box Office Un mondo sotto social ha incassato  385 mila euro .
Senza fine,Elisa Fuksas,"Ornella Vanoni, Samuele Bersani, Vinicio Capossela, Paolo Fresu, Elisa Fuksas",80,24 febbraio 2022,Documentario,I Wonder Pictures,"3,00","2,88","4,00","3,29","Regia di Elisa Fuksas. Un film Da vedere 2022 con Ornella Vanoni, Samuele Bersani, Vinicio Capossela, Paolo Fresu, Elisa Fuksas. Genere Documentario, - Italia, 2022, durata 80 minuti. Uscita cinema giovedì 24 febbraio 2022 distribuito da I Wonder Pictures. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,29 su 12 recensioni tra critica, pubblico e dizionari.","Un ritratto, un omaggio ma soprattutto la ricerca del modo giusto di raccontare Ornella Vanoni. In Italia al Box Office Senza fine ha incassato nelle prime 4 settimane di programmazione 40,3 mila euro  e 32,1 euro nel primo weekend.
                                


   Guarda subito su iWonderfull"
The Bad Guy,"Giancarlo Fontana, Giuseppe Stasi","Luigi Lo Cascio, Claudia Pandolfi, Selene Caramazza, Fabrizio Ferracane",,,Commedia - Italia,,"4,00",,"2,80","3,40","Regia di Giancarlo Fontana, Giuseppe Stasi. Una serie Da vedere 2022 con Luigi Lo Cascio, Claudia Pandolfi, Selene Caramazza, Fabrizio Ferracane. Cast completo Genere Commedia - Italia, 2022, - MYmonetro 3,40 su 1 recensioni tra critica, pubblico e dizionari. STAGIONI: 1 - EPISODI: 6","L'incredibile storia di Nino Scotellaro, pubblico ministero siciliano che ha dedicato tutta la sua vita alla lotta contro la mafia e che improvvisamente viene accusato di essere uno di coloro che ha sempre combattuto: un mafioso."
Sulle nuvole,Tommaso Paradiso,"Marco Cocci, Barbara Ronchi, Paolo Briguglia",,26 aprile 2022,Commedia,Warner Bros Italia,"3,00","2,17","2,00","2,39","Regia di Tommaso Paradiso. Un film con Marco Cocci, Barbara Ronchi, Paolo Briguglia. Genere Commedia, - Italia, 2022, Uscita cinema martedì 26 aprile 2022 distribuito da Warner Bros Italia. - MYmonetro 2,39 su 4 recensioni tra critica, pubblico e dizionari.","Una storia d'amore e musica per l'esordio alla regia di Tommaso Paradiso. Il film ha ottenuto 1 candidatura ai Nastri d'Argento, In Italia al Box Office Sulle nuvole ha incassato  28 mila euro ."
Esterno Notte - Parte II,Marco Bellocchio,"Fabrizio Gifuni, Margherita Buy, Toni Servillo, Fausto Russo Alesi, Daniela Marra",,9 giugno 2022,Drammatico,Lucky Red,,"3,94","4,50","4,22","Regia di Marco Bellocchio. Una serie con Fabrizio Gifuni, Margherita Buy, Toni Servillo, Fausto Russo Alesi, Daniela Marra. Cast completo Genere Drammatico, - Italia, Francia, 2022, Uscita cinema giovedì 9 giugno 2022 distribuito da Lucky Red. - MYmonetro 4,22 su 10 recensioni tra critica, pubblico e dizionari.",Il racconto degli ultimi giorni di Aldo Moro In Italia al Box Office Esterno Notte - Parte II ha incassato  255 mila euro .
Perfetta illusione,Pappi Corsicato,"Giuseppe Maggio, Carolina Sala, Margherita Vicario, Sandra Ceccarelli, Ruggero Franceschini",90,15 dicembre 2022,Drammatico,Europictures,"3,00","2,79","3,00","2,93","Regia di Pappi Corsicato. Un film Da vedere 2022 con Giuseppe Maggio, Carolina Sala, Margherita Vicario, Sandra Ceccarelli, Ruggero Franceschini. Genere Drammatico, - Italia, 2022, durata 90 minuti. Uscita cinema giovedì 15 dicembre 2022 distribuito da Europictures. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 2,93 su 14 recensioni tra critica, pubblico e dizionari.","Un pericoloso triangolo amoroso che cambierà per sempre le vite di tre persone. In Italia al Box Office Perfetta illusione ha incassato nelle prime 10 settimane di programmazione 64,2 mila euro  e 33,7 euro nel primo weekend."
The Land of Dreams,Nicola Abbatangelo,"Caterina Shulha, George Blagden, Kevin Guthrie, Paolo Calabresi, Marina Rocco",110,10 novembre 2022,Musical,01 Distribution,"2,00","2,10","3,67","2,59","Regia di Nicola Abbatangelo. Un film con Caterina Shulha, George Blagden, Kevin Guthrie, Paolo Calabresi, Marina Rocco. Cast completo Genere Musical, - Italia, 2022, durata 110 minuti. Uscita cinema giovedì 10 novembre 2022 distribuito da 01 Distribution. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 2,59 su 11 recensioni tra critica, pubblico e dizionari.","Un musical ambientato a New York negli anni '20. In Italia al Box Office The Land of Dreams ha incassato  53,2 mila euro ."
Tapirulàn,Claudia Gerini,"Claudia Gerini, Claudia Vismara, Stefano Pesce, Maurizio Lombardi, Corrado Fortuna",100,5 maggio 2022,Drammatico,Milano Talent Factory,"2,50","2,43","2,63","2,52","Regia di Claudia Gerini. Un film con Claudia Gerini, Claudia Vismara, Stefano Pesce, Maurizio Lombardi, Corrado Fortuna. Cast completo Genere Drammatico, - Italia, 2022, durata 100 minuti. Uscita cinema giovedì 5 maggio 2022 distribuito da Milano Talent Factory. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 2,52 su 8 recensioni tra critica, pubblico e dizionari.","La meticolosa routine di Emma viene stravolta dall'arrivo della sorella che non vedeva da 26 anni. In Italia al Box Office Tapirulàn ha incassato nelle prime 9 settimane di programmazione 25,1 mila euro  e 19,7 euro nel primo weekend."
Tutto chiede salvezza,Francesco Bruni,"Federico Cesari, Andrea Pennacchi, Vincenzo Crea, Lorenzo Renzi, Vincenzo Nemolato",,,Drammatico,,,,,,"Regia di Francesco Bruni. Una serie con Federico Cesari, Andrea Pennacchi, Vincenzo Crea, Lorenzo Renzi, Vincenzo Nemolato. Cast completo Genere Drammatico, Biografico - Italia, 2022, STAGIONI: 1 - EPISODI: 7","Ha vent'anni Daniele quando, in seguito a una violenta esplosione di rabbia, viene sottoposto a un TSO: trattamento sanitario obbligatorio."
Spaccaossa,Vincenzo Pirrotta,"Vincenzo Pirrotta, Selene Caramazza, Antonino Bruschetta, Giovanni Calcagno",105,24 novembre 2022,Drammatico,Cinecittà Luce,"3,00","3,45","3,88","3,44","Regia di Vincenzo Pirrotta. Un film Da vedere 2022 con Vincenzo Pirrotta, Selene Caramazza, Antonino Bruschetta, Giovanni Calcagno. Cast completo Genere Drammatico, - Italia, 2022, durata 105 minuti. Uscita cinema giovedì 24 novembre 2022 distribuito da Cinecittà Luce. Consigli per la visione di bambini e ragazzi: V.M. 14 - MYmonetro 3,44 su 11 recensioni tra critica, pubblico e dizionari.","In un magazzino di Palermo un gruppo di persone frantuma le ossa di vittime consenzienti per riscuotere gli indennizzi assicurativi. Il film ha ottenuto 1 candidatura ai Nastri d'Argento,  1 candidatura a David di Donatello, In Italia al Box Office Spaccaossa ha incassato  35,7 mila euro ."
(Im)perfetti criminali,Alessio Maria Federici,"Filippo Scicchitano, Fabio Balsamo, Guglielmo Poggi, Babak Karimi, Matteo Martari",,,Commedia - Italia,,"3,00","2,38","3,50","2,96","Regia di Alessio Maria Federici. Un film con Filippo Scicchitano, Fabio Balsamo, Guglielmo Poggi, Babak Karimi, Matteo Martari. Cast completo Genere Commedia - Italia, 2022, - MYmonetro 2,96 su 5 recensioni tra critica, pubblico e dizionari.","Quattro guardie giurate s'improvvisano criminali per amicizia. In Italia al Box Office (Im)perfetti criminali ha incassato nelle prime 4 settimane di programmazione 2,6 mila euro  e 2,5 euro nel primo weekend.

                                

Passaggio in TV
                                        sabato 24 febbraio 2024 ore 12,30 su  SKYCINEMACOMEDY"
Falla girare,Giampaolo Morelli,"Giampaolo Morelli, Laura Adriani, Giovanni Esposito, Ciro Priello, Fabio Balasso",103,,Commedia,Vision Distribution,"3,00","2,60","2,00","2,53","Regia di Giampaolo Morelli. Un film con Giampaolo Morelli, Laura Adriani, Giovanni Esposito, Ciro Priello, Fabio Balasso. Cast completo Genere Commedia, - Italia, 2022, durata 103 minuti. distribuito da Vision Distribution. - MYmonetro 2,53 su 6 recensioni tra critica, pubblico e dizionari.","Un'action comedy condita da situazioni esilaranti e rocambolesche, guidata da due personaggi agli antipodi, un influencer e un intellettuale."
La donna per me,Marco Martani,"Andrea Arcangeli, Alessandra Mastronardi, Stefano Fresi, Cristiano Caccamo",,4 aprile 2022,Commedia,Lucky Red,"3,00","2,50","3,50","3,00","Regia di Marco Martani. Un film con Andrea Arcangeli, Alessandra Mastronardi, Stefano Fresi, Cristiano Caccamo. Cast completo Genere Commedia, - Italia, 2022, Uscita cinema lunedì 4 aprile 2022 distribuito da Lucky Red. - MYmonetro 3,00 su 6 recensioni tra critica, pubblico e dizionari.","Qualche dubbio di troppo trasforma l'esistenza di Andrea che si risveglia ogni giorno in una vita diversa, in un se stesso diverso e in realtà in cui Laura non è mai stata la sua compagna."
La ballata dei gusci infranti,Federica Biondi,"Caterina Shulha, Simone Riccioni, Paola Lavini, Barbara Enrichi, Lina Sastri",90,31 marzo 2022,Drammatico - Italia,,"2,50",,"4,89","3,70","Regia di Federica Biondi. Un film con Caterina Shulha, Simone Riccioni, Paola Lavini, Barbara Enrichi, Lina Sastri. Cast completo Genere Drammatico - Italia, 2022, durata 90 minuti. Uscita cinema giovedì 31 marzo 2022Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,70 su 3 recensioni tra critica, pubblico e dizionari.","Quattro storie ambientate ai piedi dei Sibillini, nel cuore dell'Italia. In Italia al Box Office La ballata dei gusci infranti ha incassato  60 mila euro ."
Hill of Vision,Roberto Faenza,"Laura Haddock, Edward Holcroft, Elisa Lasowski, Francesco Montanari, Jake Donald-Crookes",104,16 giugno 2022,Drammatico,Altre Storie,"4,00","2,61","2,50","3,04","Regia di Roberto Faenza. Un film Da vedere 2022 con Laura Haddock, Edward Holcroft, Elisa Lasowski, Francesco Montanari, Jake Donald-Crookes. Cast completo Genere Drammatico, - Italia, 2022, durata 104 minuti. Uscita cinema giovedì 16 giugno 2022 distribuito da Altre Storie. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,04 su 10 recensioni tra critica, pubblico e dizionari.","Una madre e un figlio vengono divisi dalla guerra. Si ritrovano e iniziano una nuova vita in America. In Italia al Box Office Hill of Vision ha incassato  45,8 mila euro ."
Gigi la legge,Alessandro Comodin,,102,9 febbraio 2023,Documentario,Okta Film,"3,00","3,50","3,00","3,17","Regia di Alessandro Comodin. Un film Da vedere 2022 Genere Documentario, - Italia, 2022, durata 102 minuti. Uscita cinema giovedì 9 febbraio 2023 distribuito da Okta Film. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,17 su 17 recensioni tra critica, pubblico e dizionari.","Gigi è un vigile di campagna dove sembra non succedere mai niente. Un giorno, però, una ragazza si suicida sotto un treno. Non è la prima volta. Comincia un'indagine su questa inspiegabile serie di suicidi. Il film è stato premiato al Festival di Locarno, In Italia al Box Office Gigi la legge ha incassato  55,2 mila euro ."
Calcinculo,Chiara Bellosi,"Gaia Di Pietro, Andrea Carpenzano, Barbara Chichiarelli, Giandomenico Cupaiuolo",96,24 marzo 2022,Drammatico,Cinecittà Luce,"3,50","3,17","2,33","3,00","Regia di Chiara Bellosi. Un film Da vedere 2022 con Gaia Di Pietro, Andrea Carpenzano, Barbara Chichiarelli, Giandomenico Cupaiuolo. Cast completo Genere Drammatico, - Italia, 2022, durata 96 minuti. Uscita cinema giovedì 24 marzo 2022 distribuito da Cinecittà Luce. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,00 su 18 recensioni tra critica, pubblico e dizionari.","Vivere insieme in un mondo randagio. Il film ha ottenuto 1 candidatura ai Nastri d'Argento, In Italia al Box Office Calcinculo ha incassato  22,3 mila euro ."
I racconti della domenica,Giovanni Virgilio,"Alessio Vassallo, Stella Egitto, Nino Frassica, Emmanuele Aita, Cosimo Coltraro",101,10 novembre 2022,Drammatico,Movieside Distribution,"3,00","2,00","4,43","3,14","Regia di Giovanni Virgilio. Un film con Alessio Vassallo, Stella Egitto, Nino Frassica, Emmanuele Aita, Cosimo Coltraro. Cast completo Genere Drammatico, - Italia, 2022, durata 101 minuti. Uscita cinema giovedì 10 novembre 2022 distribuito da Movieside Distribution. - MYmonetro 3,14 su 4 recensioni tra critica, pubblico e dizionari.","La storia di un uomo che, cresciuto senza un padre, è diventato il padre di tutti i suoi cittadini. Il film ha ottenuto 1 candidatura a David di Donatello, In Italia al Box Office I racconti della domenica ha incassato  36,2 mila euro .

                                

Passaggio in TV
                                        martedì 20 febbraio 2024 ore 17,20 su  SKYCINEMA2"
Corpo libero,"Valerio Bonelli, Cosima Spender","Emanuele Maria Di Stefano, Filippo Nigro, Barbara Chichiarelli, Antonia Truppo",,,Drammatico,,"3,50",,,,"Regia di Valerio Bonelli, Cosima Spender. Una serie Da vedere 2022 con Emanuele Maria Di Stefano, Filippo Nigro, Barbara Chichiarelli, Antonia Truppo. Cast completo Titolo originale: Corpo libero. Genere Drammatico, Sportivo, Thriller - Italia, 2022, Valutazione: 3,5 Stelle, sulla base di 2 recensioni.",Una serie thriller tratta dall'omonimo libro di Ilaria Bernardini.
Sergio Leone - L'italiano che Inventò l'America,Francesco Zippel,,107,20 ottobre 2022,Documentario,01 Distribution,"4,00","3,60","3,00","3,53","Regia di Francesco Zippel. Un film Da vedere 2022 Genere Documentario, - Italia, 2022, durata 107 minuti. Uscita cinema giovedì 20 ottobre 2022 distribuito da 01 Distribution. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,53 su 10 recensioni tra critica, pubblico e dizionari.","Un ritratto intimo e inedito del grande regista che rivoluzionò il cinema. Il film è stato premiato ai Nastri d'Argento, In Italia al Box Office Sergio Leone - L'italiano che Inventò l'America ha incassato  101 mila euro ."
Monterossi,Roan Johnson,"Fabrizio Bentivoglio, Rinat Khismatouline, Maurizio Lombardi, Maria Paiato",,,Thriller - Italia,,,"3,50","4,50","4,00","Regia di Roan Johnson. Una serie con Fabrizio Bentivoglio, Rinat Khismatouline, Maurizio Lombardi, Maria Paiato. Cast completo Genere Thriller - Italia, 2022, - MYmonetro 4,00 su 5 recensioni tra critica, pubblico e dizionari.","Le avventure  di Carlo Monterossi, autore televisivo alle prese con vicende criminali dense di ironia e suspense."
The Bunker Game,Roberto Zazzara,"Gaia Weiss, Lorenzo Richelmy, Mark Ryder, Tudor Istodor, Makita Samba",95,2 maggio 2022,Horror,Eagle Pictures,"2,50",,"3,67","3,09","Regia di Roberto Zazzara. Un film con Gaia Weiss, Lorenzo Richelmy, Mark Ryder, Tudor Istodor, Makita Samba. Cast completo Genere Horror, - Italia, Francia, 2022, durata 95 minuti. Uscita cinema lunedì 2 maggio 2022 distribuito da Eagle Pictures. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,09 su 2 recensioni tra critica, pubblico e dizionari.",Un gioco di ruolo in live action viene interrotto dopo che diversi e misteriosi incidenti sono accaduti.
Vasco - Live Roma Circo Massimo,Giuseppe Diego Romano,Vasco Rossi,,14 novembre 2022,Musicale,Adler Entertainment,"4,00",,,,"Regia di Giuseppe Diego Romano. Un film Da vedere 2022 con Vasco Rossi. Genere Musicale, - Italia, 2022, Uscita cinema lunedì 14 novembre 2022 distribuito da Adler Entertainment. Valutazione: 4 Stelle, sulla base di 2 recensioni.",Il concerto girato in diretta da Pepsy Romanoff con il popolo dei 140.000 per due notti di festa ad oltranza. In Italia al Box Office Vasco - Live Roma Circo Massimo ha incassato nelle prime 6 settimane di programmazione 420 mila euro  e 420 euro nel primo weekend.
Pantafa,Emanuele Scaringi,"Kasia Smutniak, Greta Santi, Mario Sgueglia, Betti Pedrazzi, Mauro Marino",105,30 marzo 2023,Horror,Fandango,"3,00","2,45",,"2,73","Regia di Emanuele Scaringi. Un film con Kasia Smutniak, Greta Santi, Mario Sgueglia, Betti Pedrazzi, Mauro Marino. Cast completo Genere Horror, - Italia, 2022, durata 105 minuti. Uscita cinema giovedì 30 marzo 2023 distribuito da Fandango. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 2,73 su 11 recensioni tra critica, pubblico e dizionari.","Angoscianti disturbi del sonno vengono affiancati a oscure leggende popolari per raccontare la storia inquietante di una mamma che cerca di fare la cosa migliore per il bene della propria bambina. In Italia al Box Office Pantafa ha incassato nelle prime 11 settimane di programmazione 82,8 mila euro  e 48,3 euro nel primo weekend."
Botticelli e Firenze - La nascita della bellezza,Marco Pianigiani,Jasmine Trinca,90,28 novembre 2022,Arte,Nexo Digital,"3,00",,"5,00","4,00","Regia di Marco Pianigiani. Un film con Jasmine Trinca. Genere Arte, - Italia, 2022, durata 90 minuti. Uscita cinema lunedì 28 novembre 2022 distribuito da Nexo Digital. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 4,00 su 3 recensioni tra critica, pubblico e dizionari.","Bellezza, creatività, genio: la Firenze rinascimentale di Lorenzo de' Medici, detto il Magnifico, è un concentrato di arte e cultura. Ma non è solo questo. In Italia al Box Office Botticelli e Firenze - La nascita della bellezza ha incassato  102 mila euro ."
Amici per la Pelle,Pierluigi Di Lallo,"Filippo Laganà, Massimo Ghini, Nancy Brilli, Carolina Gonnelli, Milena Miconi",81,27 ottobre 2022,Drammatico,Altre Storie,"2,00",,"3,33","2,67","Regia di Pierluigi Di Lallo. Un film con Filippo Laganà, Massimo Ghini, Nancy Brilli, Carolina Gonnelli, Milena Miconi. Cast completo Genere Drammatico, - Italia, 2022, durata 81 minuti. Uscita cinema giovedì 27 ottobre 2022 distribuito da Altre Storie. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 2,67 su 3 recensioni tra critica, pubblico e dizionari.","Il film ha come protagonista colui che ha vissuto la vera vicenda narrata nel film, Filippo Laganà. In Italia al Box Office Amici per la Pelle ha incassato nelle prime 11 settimane di programmazione 1,4 mila euro  e 1,1 euro nel primo weekend."
Notte fantasma,Fulvio Risuleo,"Edoardo Pesce, Yothin Clavenzani",83,17 novembre 2022,Drammatico,Vision Distribution,"3,50","2,85","3,22","3,19","Regia di Fulvio Risuleo. Un film Da vedere 2022 con Edoardo Pesce, Yothin Clavenzani. Genere Drammatico, - Italia, 2022, durata 83 minuti. Uscita cinema giovedì 17 novembre 2022 distribuito da Vision Distribution. Consigli per la visione di bambini e ragazzi: V.M. 14 - MYmonetro 3,19 su 11 recensioni tra critica, pubblico e dizionari.","Un'avventura lunga una notte tra le pieghe della quotidianità, della percezione e delle vite personali. In Italia al Box Office Notte fantasma ha incassato  17,9 mila euro ."
Il mammone,Giovanni Bognetti,"Diego Abatantuono, Angela Finocchiaro, Andrea Pisani, Michela Giraud, Emmanuele Aita",93,3 agosto 2022,Commedia,Warner Bros Italia,,,"2,00",,"Regia di Giovanni Bognetti. Un film con Diego Abatantuono, Angela Finocchiaro, Andrea Pisani, Michela Giraud, Emmanuele Aita. Genere Commedia, - Italia, 2022, durata 93 minuti. Uscita cinema mercoledì 3 agosto 2022 distribuito da Warner Bros Italia.","Dieo Abatantuono e Angela Finocchiaro genitori di un ""mammone"". In Italia al Box Office Il mammone ha incassato  7,4 mila euro ."
Toilet,Gabriele Pignotta,Gabriele Pignotta,90,16 luglio 2022,Commedia,Vision Distribution,"3,50","2,50","3,33","3,11","Regia di Gabriele Pignotta. Un film Da vedere 2022 con Gabriele Pignotta. Genere Commedia, - Italia, 2022, durata 90 minuti. Uscita cinema sabato 16 luglio 2022 distribuito da Vision Distribution. - MYmonetro 3,11 su 5 recensioni tra critica, pubblico e dizionari.","Un film che affronta la sfida di raccontare una storia ironica ed emozionante attraverso un solo attore in un'unica location dove gli altri personaggi intervengono solo attraverso le numerose telefonate. In Italia al Box Office Toilet ha incassato nelle prime 6 settimane di programmazione 9,6 mila euro  e 6,3 euro nel primo weekend."
American Night,Alessio Jim Della Valle,"Jonathan Rhys Meyers, Emile Hirsch, Paz Vega, Jeremy Piven, Fortunato Cerlino",122,19 maggio 2022,Azione,01 Distribution,"1,50","2,07","2,71","2,09","Regia di Alessio Jim Della Valle. Un film con Jonathan Rhys Meyers, Emile Hirsch, Paz Vega, Jeremy Piven, Fortunato Cerlino. Cast completo Genere Azione, Thriller, - Italia, 2022, durata 122 minuti. Uscita cinema giovedì 19 maggio 2022 distribuito da 01 Distribution. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 2,09 su 8 recensioni tra critica, pubblico e dizionari.","Un noir ambientato nel corrotto mondo dell'arte contemporanea di New York, dove il mercante d'arte John Kaplan e lo spietato capo della mafia di New York, Michael Rubino, lottano per soldi, arte, potere e amore. In Italia al Box Office American Night ha incassato  42 mila euro ."
Sposa in rosso,Gianni Costantino,"Eduardo Noriega (II), Anna Galiena, Sarah Felberbaum, Massimo Ghini, Cristina Donadio",119,4 agosto 2022,Commedia,Adler Entertainment,"2,50","2,00","3,00","2,50","Regia di Gianni Costantino. Un film con Eduardo Noriega (II), Anna Galiena, Sarah Felberbaum, Massimo Ghini, Cristina Donadio. Cast completo Genere Commedia, - Italia, 2022, durata 119 minuti. Uscita cinema giovedì 4 agosto 2022 distribuito da Adler Entertainment. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 2,50 su 6 recensioni tra critica, pubblico e dizionari.","Un film avventuroso. Una commedia dei sentimenti. E tra realtà e finzione la promessa di una grande storia d'amore. In Italia al Box Office Sposa in rosso ha incassato nelle prime 5 settimane di programmazione 27,9 mila euro  e 15,2 euro nel primo weekend."
Anatar,Alan Smithee,,,19 gennaio 2023,Commedia,Green Film,"1,50",,,,"Regia di Alan Smithee. Un film Genere Commedia, - Italia, 2022, Uscita cinema giovedì 19 gennaio 2023 distribuito da Green Film. Valutazione: 1,5 Stelle, sulla base di 3 recensioni.","Gli alieni sono tecnologicamente avanzati e si mettono in viaggio attraverso lo spazio a causa dei problemi di abitabilità col proprio pianeta. Gli umani, rozzi e violenti, sono il popolo inferiore da conquistare. In Italia al Box Office Anatar ha incassato  3,9 mila euro ."
Sotto il sole di Amalfi,Martina Pastori,"Ludovica Martino, Lorenzo Zurzolo, Isabella Ferrari, Luca Ward, Davide Calgaro",,,Commedia,,,"1,83","2,00","1,92","Regia di Martina Pastori. Un film con Ludovica Martino, Lorenzo Zurzolo, Isabella Ferrari, Luca Ward, Davide Calgaro. Cast completo Genere Commedia, Sentimentale - Italia, 2022, - MYmonetro 1,92 su 4 recensioni tra critica, pubblico e dizionari.",Amicizie e amori in una magica estate nella splendida cornice della costiera amalfitana nel film sequel di Sotto il sole di Riccione.
